,Filename,Process ID,n_reads,n_aligned,skipped_reads_low_rel,length,cov_min,cov_max,cov_avg,cov_med,fasta_header
20,BSCRO554-24_r_1.3_s_100_BSCRO554-24,BSCRO554-24,7853391,635,307,1533,0.0,88.0,47.10176125244618,46.0,>BSCRO554-24_r_1.3_s_100_BSCRO554-24
21,BSCRO493-24_r_1.5_s_100_BSCRO493-24,BSCRO493-24,7991616,458,9,1533,0.0,58.0,27.062622309197653,26.0,>BSCRO493-24_r_1.5_s_100_BSCRO493-24
22,BSCRO541-24_r_1.3_s_50_BSCRO541-24,BSCRO541-24,2918310,371,324,1533,0.0,98.0,22.6027397260274,17.0,>BSCRO541-24_r_1.3_s_50_BSCRO541-24
23,BSCRO484-24_r_1.3_s_100_BSCRO484-24,BSCRO484-24,9828688,267,542,1563,0.0,77.0,18.92130518234165,14.0,>BSCRO484-24_r_1.3_s_100_BSCRO484-24
24,BSCRO499-24_r_1_s_100_BSCRO499-24,BSCRO499-24,5469568,455,25,1533,0.0,47.0,31.60078277886497,31.0,>BSCRO499-24_r_1_s_100_BSCRO499-24
25,BSCRO557-24_r_1.3_s_100_BSCRO557-24,BSCRO557-24,10149740,536,344,1533,0.0,77.0,44.84344422700587,50.0,>BSCRO557-24_r_1.3_s_100_BSCRO557-24
26,BSCRO515-24_r_1.5_s_100_BSCRO515-24,BSCRO515-24,8071737,500,46,1536,0.0,62.0,32.58984375,35.0,>BSCRO515-24_r_1.5_s_100_BSCRO515-24
27,BSCRO482-24_r_1_s_100_BSCRO482-24,BSCRO482-24,9867505,474,787,1563,0.0,95.0,42.14971209213052,39.0,>BSCRO482-24_r_1_s_100_BSCRO482-24
28,BSCRO557-24_r_1.5_s_50_BSCRO557-24,BSCRO557-24,10149740,562,344,1533,0.0,82.0,38.48140900195695,42.0,>BSCRO557-24_r_1.5_s_50_BSCRO557-24
29,BSCRO506-24_r_1.3_s_50_BSCRO506-24,BSCRO506-24,8165070,1052,0,1539,27.0,96.0,61.87134502923977,61.0,>BSCRO506-24_r_1.3_s_50_BSCRO506-24
30,BSCRO547-24_r_1.5_s_50_BSCRO547-24,BSCRO547-24,12045680,792,836,1533,0.0,95.0,58.04500978473581,64.0,>BSCRO547-24_r_1.5_s_50_BSCRO547-24
31,BSCRO509-24_r_1.3_s_100_BSCRO509-24,BSCRO509-24,1275688,65,180,1536,0.0,23.0,4.724609375,3.0,>BSCRO509-24_r_1.3_s_100_BSCRO509-24
32,BSCRO488-24_r_1_s_50_BSCRO488-24,BSCRO488-24,7290553,455,11,1563,0.0,53.0,24.8042226487524,24.0,>BSCRO488-24_r_1_s_50_BSCRO488-24
33,BSCRO525-24_r_1_s_50_BSCRO525-24,BSCRO525-24,11567012,2812,437,1533,0.0,250.0,190.6242661448141,193.0,>BSCRO525-24_r_1_s_50_BSCRO525-24
34,BSCRO546-24_r_1.5_s_100_BSCRO546-24,BSCRO546-24,2699403,121,297,1533,0.0,46.0,11.095890410958903,8.0,>BSCRO546-24_r_1.5_s_100_BSCRO546-24
35,BSCRO556-24_r_1.5_s_50_BSCRO556-24,BSCRO556-24,16060913,1413,29,1533,0.0,175.0,87.47358121330724,91.0,>BSCRO556-24_r_1.5_s_50_BSCRO556-24
36,BSCRO497-24_r_1.3_s_50_BSCRO497-24,BSCRO497-24,8664802,1462,400,1533,0.0,151.0,99.68101761252446,101.0,>BSCRO497-24_r_1.3_s_50_BSCRO497-24
37,BSCRO540-24_r_1.5_s_50_BSCRO540-24,BSCRO540-24,2737014,182,669,1533,0.0,59.0,13.0,8.0,>BSCRO540-24_r_1.5_s_50_BSCRO540-24
38,BSCRO532-24_r_1.3_s_100_BSCRO532-24,BSCRO532-24,6507404,1250,524,1533,0.0,134.0,99.21526418786692,103.0,>BSCRO532-24_r_1.3_s_100_BSCRO532-24
39,BSCRO531-24_r_1_s_100_BSCRO531-24,BSCRO531-24,6966649,1454,54,1533,0.0,151.0,120.39530332681018,126.0,>BSCRO531-24_r_1_s_100_BSCRO531-24
40,BSCRO500-24_r_1.3_s_50_BSCRO500-24,BSCRO500-24,8160661,1756,45,1533,0.0,191.0,125.24657534246576,119.0,>BSCRO500-24_r_1.3_s_50_BSCRO500-24
41,BSCRO516-24_r_1.5_s_50_BSCRO516-24,BSCRO516-24,9057222,1052,149,1536,0.0,128.0,54.91015625,58.0,>BSCRO516-24_r_1.5_s_50_BSCRO516-24
42,BSCRO562-24_r_1.3_s_100_BSCRO562-24,BSCRO562-24,1108167,89,113,1533,0.0,36.0,8.287671232876713,5.0,>BSCRO562-24_r_1.3_s_100_BSCRO562-24
43,BSCRO555-24_r_1.3_s_100_BSCRO555-24,BSCRO555-24,8620109,693,504,1533,0.0,101.0,54.76320939334638,57.0,>BSCRO555-24_r_1.3_s_100_BSCRO555-24
44,BSCRO512-24_r_1.5_s_50_BSCRO512-24,BSCRO512-24,8268631,1075,816,1536,0.0,131.0,74.904296875,80.5,>BSCRO512-24_r_1.5_s_50_BSCRO512-24
45,BSCRO544-24_r_1.3_s_50_BSCRO544-24,BSCRO544-24,7599247,529,35,1533,0.0,78.0,31.283757338551855,31.0,>BSCRO544-24_r_1.3_s_50_BSCRO544-24
46,BSCRO540-24_r_1_s_100_BSCRO540-24,BSCRO540-24,2737014,495,669,1533,0.0,107.0,43.2348336594912,39.0,>BSCRO540-24_r_1_s_100_BSCRO540-24
47,BSCRO502-24_r_1.5_s_50_BSCRO502-24,BSCRO502-24,6726105,1220,487,1533,0.0,125.0,79.33268101761253,80.0,>BSCRO502-24_r_1.5_s_50_BSCRO502-24
48,BSCRO510-24_r_1.3_s_100_BSCRO510-24,BSCRO510-24,2291775,71,231,1536,0.0,30.0,6.595703125,3.0,>BSCRO510-24_r_1.3_s_100_BSCRO510-24
49,BSCRO517-24_r_1.3_s_100_BSCRO517-24,BSCRO517-24,7778587,672,107,1536,0.0,71.0,41.02734375,45.0,>BSCRO517-24_r_1.3_s_100_BSCRO517-24
50,BSCRO559-24_r_1_s_50_BSCRO559-24,BSCRO559-24,9493096,2678,5337,1533,0.0,690.0,236.34246575342465,229.0,>BSCRO559-24_r_1_s_50_BSCRO559-24
51,BSCRO492-24_r_1.3_s_100_BSCRO492-24,BSCRO492-24,7033016,656,263,1533,0.0,84.0,41.3013698630137,40.0,>BSCRO492-24_r_1.3_s_100_BSCRO492-24
52,BSCRO557-24_r_1_s_100_BSCRO557-24,BSCRO557-24,10149740,573,344,1533,0.0,78.0,48.09197651663405,51.0,>BSCRO557-24_r_1_s_100_BSCRO557-24
53,BSCRO527-24_r_1_s_100_BSCRO527-24,BSCRO527-24,6585684,1215,827,1533,0.0,153.0,100.78864970645792,102.0,>BSCRO527-24_r_1_s_100_BSCRO527-24
54,BSCRO493-24_r_1.5_s_50_BSCRO493-24,BSCRO493-24,7991616,689,9,1533,0.0,67.0,34.23287671232877,34.0,>BSCRO493-24_r_1.5_s_50_BSCRO493-24
55,BSCRO504-24_r_1_s_100_BSCRO504-24,BSCRO504-24,12458427,717,269,1539,22.0,94.0,46.80116959064328,43.0,>BSCRO504-24_r_1_s_100_BSCRO504-24
56,BSCRO541-24_r_1.5_s_100_BSCRO541-24,BSCRO541-24,2918310,164,324,1533,0.0,87.0,12.457925636007827,4.0,>BSCRO541-24_r_1.5_s_100_BSCRO541-24
57,BSCRO484-24_r_1_s_100_BSCRO484-24,BSCRO484-24,9828688,410,542,1563,0.0,84.0,31.59309021113244,32.0,>BSCRO484-24_r_1_s_100_BSCRO484-24
58,BSCRO524-24_r_1.3_s_100_BSCRO524-24,BSCRO524-24,6372646,720,451,1533,0.0,89.0,57.37964774951077,56.0,>BSCRO524-24_r_1.3_s_100_BSCRO524-24
59,BSCRO525-24_r_1.3_s_100_BSCRO525-24,BSCRO525-24,11567012,2093,437,1533,0.0,225.0,167.59295499021528,170.0,>BSCRO525-24_r_1.3_s_100_BSCRO525-24
60,BSCRO554-24_r_1.3_s_50_BSCRO554-24,BSCRO554-24,7853391,809,307,1533,0.0,98.0,52.73581213307241,52.0,>BSCRO554-24_r_1.3_s_50_BSCRO554-24
61,BSCRO524-24_r_1.5_s_50_BSCRO524-24,BSCRO524-24,6372646,784,451,1533,0.0,92.0,55.71428571428572,56.0,>BSCRO524-24_r_1.5_s_50_BSCRO524-24
62,BSCRO484-24_r_1.5_s_100_BSCRO484-24,BSCRO484-24,9828688,140,542,1563,0.0,71.0,9.069097888675625,3.0,>BSCRO484-24_r_1.5_s_100_BSCRO484-24
63,BSCRO529-24_r_1.3_s_50_BSCRO529-24,BSCRO529-24,8341319,721,117,1533,0.0,113.0,44.94911937377691,43.0,>BSCRO529-24_r_1.3_s_50_BSCRO529-24
64,BSCRO536-24_r_1.3_s_50_BSCRO536-24,BSCRO536-24,11157790,739,120,1533,0.0,84.0,47.4187866927593,45.0,>BSCRO536-24_r_1.3_s_50_BSCRO536-24
65,BSCRO495-24_r_1_s_50_BSCRO495-24,BSCRO495-24,9941413,594,261,1533,5.0,58.0,30.753424657534246,30.0,>BSCRO495-24_r_1_s_50_BSCRO495-24
66,BSCRO494-24_r_1.5_s_100_BSCRO494-24,BSCRO494-24,8584083,483,585,1533,0.0,70.0,40.4853228962818,38.0,>BSCRO494-24_r_1.5_s_100_BSCRO494-24
67,BSCRO515-24_r_1_s_100_BSCRO515-24,BSCRO515-24,8071737,571,46,1536,9.0,64.0,37.70703125,39.0,>BSCRO515-24_r_1_s_100_BSCRO515-24
68,BSCRO519-24_r_1.3_s_100_BSCRO519-24,BSCRO519-24,4826366,615,343,1536,2.0,79.0,50.142578125,51.0,>BSCRO519-24_r_1.3_s_100_BSCRO519-24
69,BSCRO490-24_r_1_s_50_BSCRO490-24,BSCRO490-24,10566446,1114,581,1563,0.0,137.0,70.80614203454894,75.0,>BSCRO490-24_r_1_s_50_BSCRO490-24
70,BSCRO481-24_r_1_s_50_BSCRO481-24,BSCRO481-24,5048484,220,176,1563,0.0,34.0,10.33781190019194,10.0,>BSCRO481-24_r_1_s_50_BSCRO481-24
71,BSCRO487-24_r_1.3_s_50_BSCRO487-24,BSCRO487-24,4505559,108,54,1563,0.0,22.0,4.236084452975048,0.0,>BSCRO487-24_r_1.3_s_50_BSCRO487-24
72,BSCRO549-24_r_1.3_s_100_BSCRO549-24,BSCRO549-24,6764391,672,131,1533,0.0,92.0,60.19765166340509,64.0,>BSCRO549-24_r_1.3_s_100_BSCRO549-24
73,BSCRO546-24_r_1.5_s_50_BSCRO546-24,BSCRO546-24,2699403,147,297,1533,0.0,47.0,11.796477495107633,9.0,>BSCRO546-24_r_1.5_s_50_BSCRO546-24
74,BSCRO513-24_r_1_s_100_BSCRO513-24,BSCRO513-24,8977209,1752,140,1536,65.0,213.0,148.634765625,149.0,>BSCRO513-24_r_1_s_100_BSCRO513-24
75,BSCRO549-24_r_1.5_s_50_BSCRO549-24,BSCRO549-24,6764391,698,131,1533,0.0,96.0,56.894324853228966,62.0,>BSCRO549-24_r_1.5_s_50_BSCRO549-24
76,BSCRO480-24_r_1.5_s_100_BSCRO480-24,BSCRO480-24,9604338,105,914,1563,0.0,47.0,7.481765834932822,4.0,>BSCRO480-24_r_1.5_s_100_BSCRO480-24
77,BSCRO532-24_r_1.5_s_100_BSCRO532-24,BSCRO532-24,6507404,1121,524,1533,0.0,134.0,89.34442270058709,97.0,>BSCRO532-24_r_1.5_s_100_BSCRO532-24
78,BSCRO534-24_r_1_s_100_BSCRO534-24,BSCRO534-24,8645621,1413,563,1533,0.0,200.0,138.03913894324853,138.0,>BSCRO534-24_r_1_s_100_BSCRO534-24
79,BSCRO476-24_r_1_s_50_BSCRO476-24,BSCRO476-24,7281474,819,19,1563,0.0,117.0,49.89827255278311,48.0,>BSCRO476-24_r_1_s_50_BSCRO476-24
80,BSCRO514-24_r_1.3_s_50_BSCRO514-24,BSCRO514-24,10388786,1392,160,1536,14.0,173.0,101.232421875,103.0,>BSCRO514-24_r_1.3_s_50_BSCRO514-24
81,BSCRO551-24_r_1_s_50_BSCRO551-24,BSCRO551-24,6435694,1433,614,1533,0.0,157.0,103.30724070450098,106.0,>BSCRO551-24_r_1_s_50_BSCRO551-24
82,BSCRO500-24_r_1.5_s_50_BSCRO500-24,BSCRO500-24,8160661,1431,45,1533,0.0,168.0,107.31506849315068,106.0,>BSCRO500-24_r_1.5_s_50_BSCRO500-24
83,BSCRO539-24_r_1.5_s_100_BSCRO539-24,BSCRO539-24,6256725,385,846,1533,0.0,115.0,24.70254403131116,13.0,>BSCRO539-24_r_1.5_s_100_BSCRO539-24
84,BSCRO508-24_r_1_s_50_BSCRO508-24,BSCRO508-24,6056059,1017,78,1539,23.0,104.0,60.66666666666666,57.0,>BSCRO508-24_r_1_s_50_BSCRO508-24
85,BSCRO552-24_r_1_s_50_BSCRO552-24,BSCRO552-24,7551975,533,185,1533,0.0,56.0,28.52054794520548,28.0,>BSCRO552-24_r_1_s_50_BSCRO552-24
86,BSCRO511-24_r_1_s_50_BSCRO511-24,BSCRO511-24,3285220,358,481,1536,0.0,61.0,27.896484375,29.0,>BSCRO511-24_r_1_s_50_BSCRO511-24
87,BSCRO491-24_r_1.5_s_100_BSCRO491-24,BSCRO491-24,7421223,592,243,1533,0.0,67.0,37.60469667318982,40.0,>BSCRO491-24_r_1.5_s_100_BSCRO491-24
88,BSCRO533-24_r_1.3_s_100_BSCRO533-24,BSCRO533-24,11847000,1639,89,1533,0.0,206.0,144.9119373776908,150.0,>BSCRO533-24_r_1.3_s_100_BSCRO533-24
89,BSCRO553-24_r_1_s_50_BSCRO553-24,BSCRO553-24,6901633,765,160,1533,0.0,80.0,40.57729941291585,39.0,>BSCRO553-24_r_1_s_50_BSCRO553-24
90,BSCRO491-24_r_1.3_s_50_BSCRO491-24,BSCRO491-24,7421223,932,243,1533,0.0,81.0,50.96673189823875,52.0,>BSCRO491-24_r_1.3_s_50_BSCRO491-24
91,BSCRO563-24_r_1.5_s_100_BSCRO563-24,BSCRO563-24,2872481,39,432,1533,0.0,23.0,2.9921722113502933,0.0,>BSCRO563-24_r_1.5_s_100_BSCRO563-24
92,BSCRO479-24_r_1.5_s_50_BSCRO479-24,BSCRO479-24,7329376,167,619,1563,0.0,38.0,6.844529750479847,3.0,>BSCRO479-24_r_1.5_s_50_BSCRO479-24
93,BSCRO523-24_r_1.3_s_50_BSCRO523-24,BSCRO523-24,5727441,877,444,1536,0.0,106.0,62.47265625,67.0,>BSCRO523-24_r_1.3_s_50_BSCRO523-24
94,BSCRO527-24_r_1.3_s_100_BSCRO527-24,BSCRO527-24,6585684,1175,827,1533,0.0,153.0,97.85909980430527,98.0,>BSCRO527-24_r_1.3_s_100_BSCRO527-24
95,BSCRO503-24_r_1_s_50_BSCRO503-24,BSCRO503-24,8017074,981,105,1539,22.0,110.0,56.25925925925926,54.0,>BSCRO503-24_r_1_s_50_BSCRO503-24
96,BSCRO490-24_r_1.3_s_50_BSCRO490-24,BSCRO490-24,10566446,767,581,1563,0.0,97.0,52.57197696737044,58.0,>BSCRO490-24_r_1.3_s_50_BSCRO490-24
97,BSCRO534-24_r_1.3_s_100_BSCRO534-24,BSCRO534-24,8645621,1375,563,1533,0.0,200.0,134.82583170254404,133.0,>BSCRO534-24_r_1.3_s_100_BSCRO534-24
98,BSCRO521-24_r_1_s_50_BSCRO521-24,BSCRO521-24,7230546,951,4,1536,18.0,106.0,49.23828125,46.0,>BSCRO521-24_r_1_s_50_BSCRO521-24
99,BSCRO484-24_r_1.5_s_50_BSCRO484-24,BSCRO484-24,9828688,219,542,1563,0.0,85.0,11.207293666026873,5.0,>BSCRO484-24_r_1.5_s_50_BSCRO484-24
100,BSCRO549-24_r_1.3_s_50_BSCRO549-24,BSCRO549-24,6764391,814,131,1533,0.0,102.0,64.62818003913894,70.0,>BSCRO549-24_r_1.3_s_50_BSCRO549-24
101,BSCRO543-24_r_1_s_50_BSCRO543-24,BSCRO543-24,7145880,718,44,1533,1.0,85.0,38.86301369863013,37.0,>BSCRO543-24_r_1_s_50_BSCRO543-24
102,BSCRO564-24_r_1.5_s_100_BSCRO564-24,BSCRO564-24,1532767,68,229,1533,0.0,41.0,5.2641878669275926,2.0,>BSCRO564-24_r_1.5_s_100_BSCRO564-24
103,BSCRO525-24_r_1.5_s_100_BSCRO525-24,BSCRO525-24,11567012,1855,437,1533,0.0,223.0,148.6242661448141,149.0,>BSCRO525-24_r_1.5_s_100_BSCRO525-24
104,BSCRO485-24_r_1_s_100_BSCRO485-24,BSCRO485-24,6715479,164,474,1563,0.0,38.0,11.412667946257198,10.0,>BSCRO485-24_r_1_s_100_BSCRO485-24
105,BSCRO479-24_r_1_s_50_BSCRO479-24,BSCRO479-24,7329376,517,619,1563,0.0,64.0,25.60460652591171,26.0,>BSCRO479-24_r_1_s_50_BSCRO479-24
106,BSCRO544-24_r_1.3_s_100_BSCRO544-24,BSCRO544-24,7599247,341,35,1533,0.0,54.0,25.77495107632094,27.0,>BSCRO544-24_r_1.3_s_100_BSCRO544-24
107,BSCRO529-24_r_1.5_s_50_BSCRO529-24,BSCRO529-24,8341319,595,117,1533,0.0,103.0,36.614481409001954,34.0,>BSCRO529-24_r_1.5_s_50_BSCRO529-24
108,BSCRO476-24_r_1_s_100_BSCRO476-24,BSCRO476-24,7281474,474,19,1563,0.0,94.0,38.15163147792706,36.0,>BSCRO476-24_r_1_s_100_BSCRO476-24
109,BSCRO495-24_r_1.3_s_50_BSCRO495-24,BSCRO495-24,9941413,477,261,1533,2.0,51.0,26.174168297455967,24.0,>BSCRO495-24_r_1.3_s_50_BSCRO495-24
110,BSCRO513-24_r_1.3_s_100_BSCRO513-24,BSCRO513-24,8977209,1627,140,1536,0.0,211.0,138.61328125,147.0,>BSCRO513-24_r_1.3_s_100_BSCRO513-24
111,BSCRO517-24_r_1.3_s_50_BSCRO517-24,BSCRO517-24,7778587,1036,107,1536,0.0,128.0,51.220703125,54.0,>BSCRO517-24_r_1.3_s_50_BSCRO517-24
112,BSCRO565-24_r_1.5_s_50_BSCRO565-24,BSCRO565-24,1571261,111,52,1563,0.0,42.0,7.552783109404991,4.0,>BSCRO565-24_r_1.5_s_50_BSCRO565-24
113,BSCRO544-24_r_1_s_50_BSCRO544-24,BSCRO544-24,7599247,728,35,1533,2.0,96.0,40.75146771037182,41.0,>BSCRO544-24_r_1_s_50_BSCRO544-24
114,BSCRO556-24_r_1_s_100_BSCRO556-24,BSCRO556-24,16060913,1289,29,1533,0.0,158.0,97.66340508806262,100.0,>BSCRO556-24_r_1_s_100_BSCRO556-24
115,BSCRO488-24_r_1.5_s_50_BSCRO488-24,BSCRO488-24,7290553,112,11,1563,0.0,28.0,5.44337811900192,3.0,>BSCRO488-24_r_1.5_s_50_BSCRO488-24
116,BSCRO532-24_r_1.3_s_50_BSCRO532-24,BSCRO532-24,6507404,1549,524,1533,0.0,148.0,107.9119373776908,112.0,>BSCRO532-24_r_1.3_s_50_BSCRO532-24
117,BSCRO479-24_r_1.3_s_50_BSCRO479-24,BSCRO479-24,7329376,313,619,1563,0.0,57.0,14.942418426103648,13.0,>BSCRO479-24_r_1.3_s_50_BSCRO479-24
118,BSCRO533-24_r_1.3_s_50_BSCRO533-24,BSCRO533-24,11847000,1930,89,1533,0.0,217.0,153.31311154598825,159.0,>BSCRO533-24_r_1.3_s_50_BSCRO533-24
119,BSCRO482-24_r_1.3_s_100_BSCRO482-24,BSCRO482-24,9867505,333,787,1563,0.0,80.0,29.103646833013435,26.0,>BSCRO482-24_r_1.3_s_100_BSCRO482-24
120,BSCRO528-24_r_1.3_s_100_BSCRO528-24,BSCRO528-24,6715123,937,299,1533,0.0,117.0,80.47162426614481,81.0,>BSCRO528-24_r_1.3_s_100_BSCRO528-24
121,BSCRO483-24_r_1.5_s_50_BSCRO483-24,BSCRO483-24,10029031,248,208,1563,0.0,77.0,12.119001919385797,4.0,>BSCRO483-24_r_1.5_s_50_BSCRO483-24
122,BSCRO542-24_r_1.5_s_100_BSCRO542-24,BSCRO542-24,9749780,345,417,1533,0.0,59.0,24.383561643835616,25.0,>BSCRO542-24_r_1.5_s_100_BSCRO542-24
123,BSCRO542-24_r_1.3_s_100_BSCRO542-24,BSCRO542-24,9749780,518,417,1533,0.0,66.0,39.87671232876713,42.0,>BSCRO542-24_r_1.3_s_100_BSCRO542-24
124,BSCRO558-24_r_1.5_s_100_BSCRO558-24,BSCRO558-24,7702062,764,620,1533,0.0,169.0,48.5812133072407,46.0,>BSCRO558-24_r_1.5_s_100_BSCRO558-24
125,BSCRO546-24_r_1_s_100_BSCRO546-24,BSCRO546-24,2699403,249,297,1533,0.0,53.0,26.168297455968688,25.0,>BSCRO546-24_r_1_s_100_BSCRO546-24
126,BSCRO496-24_r_1.5_s_50_BSCRO496-24,BSCRO496-24,8643189,385,408,1533,2.0,50.0,22.679060665362037,22.0,>BSCRO496-24_r_1.5_s_50_BSCRO496-24
127,BSCRO483-24_r_1.3_s_50_BSCRO483-24,BSCRO483-24,10029031,513,208,1563,0.0,107.0,30.62763915547025,28.0,>BSCRO483-24_r_1.3_s_50_BSCRO483-24
128,BSCRO501-24_r_1_s_50_BSCRO501-24,BSCRO501-24,6946837,1541,384,1533,0.0,143.0,95.84735812133071,96.0,>BSCRO501-24_r_1_s_50_BSCRO501-24
129,BSCRO537-24_r_1.3_s_100_BSCRO537-24,BSCRO537-24,13998658,1588,33,1533,0.0,203.0,119.47945205479452,106.0,>BSCRO537-24_r_1.3_s_100_BSCRO537-24
130,BSCRO523-24_r_1.3_s_100_BSCRO523-24,BSCRO523-24,5727441,671,444,1536,0.0,90.0,57.03125,62.0,>BSCRO523-24_r_1.3_s_100_BSCRO523-24
131,BSCRO520-24_r_1.3_s_100_BSCRO520-24,BSCRO520-24,6267011,869,8,1536,7.0,109.0,67.767578125,70.0,>BSCRO520-24_r_1.3_s_100_BSCRO520-24
132,BSCRO568-24_r_1_s_100_BSCRO568-24,BSCRO568-24,6746249,273,636,1563,0.0,44.0,22.742802303262955,24.0,>BSCRO568-24_r_1_s_100_BSCRO568-24
133,BSCRO530-24_r_1.5_s_50_BSCRO530-24,BSCRO530-24,10478083,1544,233,1533,0.0,140.0,85.34833659491194,91.0,>BSCRO530-24_r_1.5_s_50_BSCRO530-24
134,BSCRO561-24_r_1_s_50_BSCRO561-24,BSCRO561-24,615787,93,53,1533,0.0,44.0,5.808219178082192,2.0,>BSCRO561-24_r_1_s_50_BSCRO561-24
135,BSCRO490-24_r_1.3_s_100_BSCRO490-24,BSCRO490-24,10566446,590,581,1563,0.0,87.0,47.489443378119,53.0,>BSCRO490-24_r_1.3_s_100_BSCRO490-24
136,BSCRO531-24_r_1_s_50_BSCRO531-24,BSCRO531-24,6966649,1857,54,1533,0.0,167.0,132.45205479452054,136.0,>BSCRO531-24_r_1_s_50_BSCRO531-24
137,BSCRO510-24_r_1.5_s_50_BSCRO510-24,BSCRO510-24,2291775,35,231,1536,0.0,8.0,1.72265625,1.0,>BSCRO510-24_r_1.5_s_50_BSCRO510-24
138,BSCRO515-24_r_1.5_s_50_BSCRO515-24,BSCRO515-24,8071737,741,46,1536,0.0,126.0,38.970703125,40.0,>BSCRO515-24_r_1.5_s_50_BSCRO515-24
139,BSCRO510-24_r_1_s_50_BSCRO510-24,BSCRO510-24,2291775,206,231,1536,0.0,54.0,15.90234375,11.5,>BSCRO510-24_r_1_s_50_BSCRO510-24
140,BSCRO516-24_r_1.3_s_50_BSCRO516-24,BSCRO516-24,9057222,1214,149,1536,0.0,132.0,63.853515625,67.0,>BSCRO516-24_r_1.3_s_50_BSCRO516-24
141,BSCRO493-24_r_1_s_50_BSCRO493-24,BSCRO493-24,7991616,869,9,1533,5.0,77.0,40.50880626223092,40.0,>BSCRO493-24_r_1_s_50_BSCRO493-24
