Machine readable	1acb751e-decc-405a-095a-4aa568f70b9a	e2b64f4a-3173-4f62-ef89-a9c9dd39694e	abfab98b-8018-4089-b600-63ff50eaef9d	868402c1-7656-4c80-410e-2ee7aaac320f	633598be-b90d-4822-db50-7d2b3506ffaf	757c2dae-9ec4-495f-3c97-5721a303d57a	b8dbe898-da6d-45fc-5932-06b052b148c2	933091ef-9a5f-4427-266a-3b6cc49f3d8e	008b513e-a177-4c33-9a8d-1ccc7af6488a	175110ee-6387-47a6-1a57-e73e729008b2	cb92e6c4-832a-49d3-2ea2-6ed59184898a	1b4b97a4-7d0b-4c13-0ca5-67602587bbf7	3a4ad494-80b2-45b2-7542-2b797e629d33	a6dac5f0-344f-431b-245a-5790783e4bff	91f55312-a619-438a-9dc9-ac11df5367e5	03adeac6-71b9-4151-1fff-8c5c22f7208b	83955fab-37ec-43dd-ba05-9a2be883151a	f104d132-daac-4bea-de08-2554f093b1e1	a10a9e54-a2a5-4d5a-e8c9-59e26c02b456	75bddbc3-ce14-4698-3a68-1c7cd02105f9	34e0272b-ac9e-44c8-907f-5c6a197c6918	addc8f1a-5a10-4916-a826-342a22cf947e	103fd6f1-00fb-4caa-0ff1-612d6e5a197b	167a9bf2-bf94-4b84-beae-503b7b9cccb0	9458471e-52ac-4f44-fdbf-5978e184ef7e	6de15a7f-26d7-423e-7d16-33121e65dd3e	b6bd16e5-7d43-42b5-6108-20f8001aec02	9ab06179-dccb-44bb-3a0c-c1c6943c97f1	02e39334-1975-4707-1ab0-c3bd631e104f	03fe4c37-129e-4dac-e052-1dcb1ee798c6	79a413a2-a734-44d4-d4a1-aa9f58b28c5c	95ab4414-2df3-4877-fecf-d68ca6f4a972	b8f19cfc-456b-4985-ffaf-c6e1e9687347	6f9eb33a-c517-4196-4c6d-21cfcb08b33e	c2cb5935-0c92-45d7-adb2-f8d6529de0a1	f9b6ddee-f39b-4a6e-418b-45fa16ab902d	74e0c82d-9cce-4000-9047-43d8f5c14671	6db6ccba-bff6-4b47-53dd-bbedf9e4eca2
BGE_00431_A09	BGE_00431		A09					2014															Yes											Dry				BGE_00431_A09
BGE_00431_A10	BGE_00431		A10					2000															Yes											Dry				BGE_00431_A10
BGE_00431_A11	BGE_00431		A11																				Yes											Dry				BGE_00431_A11
BGE_00431_A12	BGE_00431		A12																				Yes											Dry				BGE_00431_A12
BGE_00431_B01	BGE_00431		B01																				Yes											Dry				BGE_00431_B01
BGE_00431_B02	BGE_00431		B02																				Yes											Dry				BGE_00431_B02
BGE_00431_B03	BGE_00431		B03																				Yes											Dry				BGE_00431_B03
BGE_00431_B04	BGE_00431		B04																				Yes											Dry				BGE_00431_B04
BGE_00431_B05	BGE_00431		B05																				Yes											Dry				BGE_00431_B05
BGE_00431_B06	BGE_00431		B06																				Yes											Dry				BGE_00431_B06
BGE_00431_B07	BGE_00431		B07																				Yes											Dry				BGE_00431_B07
BGE_00431_B09	BGE_00431		B09					2014															Yes											Dry				BGE_00431_B09
BGE_00431_B10	BGE_00431		B10																				Yes											Dry				BGE_00431_B10
BGE_00431_B11	BGE_00431		B11																				Yes											Dry				BGE_00431_B11
BGE_00431_C01	BGE_00431		C01					2005															Yes											Dry				BGE_00431_C01
BGE_00431_C02	BGE_00431		C02					2006															Yes											Dry				BGE_00431_C02
BGE_00431_C03	BGE_00431		C03																				Yes											Dry				BGE_00431_C03
BGE_00431_C04	BGE_00431		C04																				Yes											Dry				BGE_00431_C04
BGE_00431_C05	BGE_00431		C05																				Yes											Dry				BGE_00431_C05
BGE_00431_C06	BGE_00431		C06																				Yes											Dry				BGE_00431_C06
BGE_00431_C07	BGE_00431		C07																				Yes											Dry				BGE_00431_C07
BGE_00431_C08	BGE_00431		C08																				Yes											Dry				BGE_00431_C08
BGE_00431_C09	BGE_00431		C09					2003															Yes											Dry				BGE_00431_C09
BGE_00431_C12	BGE_00431		C12																				Yes											Dry				BGE_00431_C12
BGE_00431_D03	BGE_00431		D03																				Yes											Dry				BGE_00431_D03
BGE_00431_D04	BGE_00431		D04																				Yes											Dry				BGE_00431_D04
BGE_00431_D05	BGE_00431		D05																				Yes											Dry				BGE_00431_D05
BGE_00431_D06	BGE_00431		D06																				Yes											Dry				BGE_00431_D06
BGE_00431_D07	BGE_00431		D07																				Yes											Dry				BGE_00431_D07
BGE_00431_D09	BGE_00431		D09																				Yes											Dry				BGE_00431_D09
BGE_00431_D10	BGE_00431		D10																				Yes											Dry				BGE_00431_D10
BGE_00431_D11	BGE_00431		D11																				Yes											Dry				BGE_00431_D11
BGE_00431_D12	BGE_00431		D12																				Yes											Dry				BGE_00431_D12
BGE_00431_E01	BGE_00431		E01					2005															Yes											Dry				BGE_00431_E01
BGE_00431_E02	BGE_00431		E02																				Yes											Dry				BGE_00431_E02
BGE_00431_E03	BGE_00431		E03					2008															Yes											Dry				BGE_00431_E03
BGE_00431_E04	BGE_00431		E04																				Yes											Dry				BGE_00431_E04
BGE_00431_E05	BGE_00431		E05																				Yes											Dry				BGE_00431_E05
BGE_00431_E06	BGE_00431		E06																				Yes											Dry				BGE_00431_E06
BGE_00431_E07	BGE_00431		E07																				Yes											Dry				BGE_00431_E07
BGE_00431_E08	BGE_00431		E08																				Yes											Dry				BGE_00431_E08
BGE_00431_E09	BGE_00431		E09																				Yes											Dry				BGE_00431_E09
BGE_00431_E10	BGE_00431		E10																				Yes											Dry				BGE_00431_E10
BGE_00431_E11	BGE_00431		E11																				Yes											Dry				BGE_00431_E11
BGE_00431_E12	BGE_00431		E12																				Yes											Dry				BGE_00431_E12
BGE_00431_F01	BGE_00431		F01																				Yes											Dry				BGE_00431_F01
BGE_00431_F03	BGE_00431		F03					2005															Yes											Dry				BGE_00431_F03
BGE_00431_F04	BGE_00431		F04					2003															Yes											Dry				BGE_00431_F04
BGE_00431_F05	BGE_00431		F05					2004															Yes											Dry				BGE_00431_F05
BGE_00431_F06	BGE_00431		F06					2004															Yes											Dry				BGE_00431_F06
BGE_00431_F07	BGE_00431		F07																				Yes											Dry				BGE_00431_F07
BGE_00431_F08	BGE_00431		F08																				Yes											Dry				BGE_00431_F08
BGE_00431_F09	BGE_00431		F09																				Yes											Dry				BGE_00431_F09
BGE_00431_F10	BGE_00431		F10																				Yes											Dry				BGE_00431_F10
BGE_00431_F11	BGE_00431		F11																				Yes											Dry				BGE_00431_F11
BGE_00431_F12	BGE_00431		F12																				Yes											Dry				BGE_00431_F12
BGE_00431_G01	BGE_00431		G01																				Yes											Dry				BGE_00431_G01
BGE_00431_G02	BGE_00431		G02																				Yes											Dry				BGE_00431_G02
BGE_00431_G03	BGE_00431		G03																				Yes											Dry				BGE_00431_G03
BGE_00431_G06	BGE_00431		G06																				Yes											Dry				BGE_00431_G06
BGE_00431_G07	BGE_00431		G07																				Yes											Dry				BGE_00431_G07
BGE_00431_G08	BGE_00431		G08					2002															Yes											Dry				BGE_00431_G08
BGE_00431_G09	BGE_00431		G09					2002															Yes											Dry				BGE_00431_G09
BGE_00431_G10	BGE_00431		G10					1996															Yes											Dry				BGE_00431_G10
BGE_00431_G11	BGE_00431		G11					1997															Yes											Dry				BGE_00431_G11
BGE_00431_G12	BGE_00431		G12					1997															Yes											Dry				BGE_00431_G12
BGE_00431_H01	BGE_00431		H01																				Yes											Dry				BGE_00431_H01
BGE_00431_H02	BGE_00431		H02																				Yes											Dry				BGE_00431_H02
BGE_00431_H03	BGE_00431		H03																				Yes											Dry				BGE_00431_H03
BGE_00431_H04	BGE_00431		H04					2016															Yes											Dry				BGE_00431_H04
BGE_00431_H06	BGE_00431		H06																				Yes											Dry				BGE_00431_H06
BGE_00431_H07	BGE_00431		H07					2018															Yes											Dry				BGE_00431_H07
BGE_00431_H08	BGE_00431		H08																				Yes											Dry				BGE_00431_H08
BGE_00431_H09	BGE_00431		H09																				Yes											Dry				BGE_00431_H09
BGE_00431_H10	BGE_00431		H10																				Yes											Dry				BGE_00431_H10
BGE_00431_H11	BGE_00431		H11																				Yes											Dry				BGE_00431_H11
BGE_00221_A01																																						
BGE_00221_A02																																						
BGE_00221_A03																																						
BGE_00221_A05																																						
BGE_00221_A06																																						
BGE_00221_A07																																						
BGE_00221_A08																																						
BGE_00221_A09																																						
BGE_00221_A10																																						
BGE_00221_A11																																						
BGE_00221_A12																																						
BGE_00221_B01																																						
BGE_00221_B02																																						
BGE_00221_B03																																						
BGE_00221_B04																																						
BGE_00221_B05																																						
BGE_00221_B06																																						
BGE_00221_B07																																						
BGE_00221_B08																																						
BGE_00221_B09																																						
BGE_00221_B10																																						
BGE_00221_B11																																						
BGE_00221_C01																																						
BGE_00221_C02																																						
BGE_00221_C03																																						
BGE_00221_C04																																						
BGE_00221_C05																																						
BGE_00221_C06																																						
BGE_00221_C07																																						
BGE_00221_C08																																						
BGE_00221_C09																																						
BGE_00221_C10																																						
BGE_00221_C11																																						
BGE_00221_C12																																						
BGE_00221_D01																																						
BGE_00221_D02																																						
BGE_00221_D03																																						
BGE_00221_D04																																						
BGE_00221_D05																																						
BGE_00221_D06																																						
BGE_00221_D07																																						
BGE_00221_D08																																						
BGE_00221_D09																																						
BGE_00221_D10																																						
BGE_00221_D11																																						
BGE_00221_D12																																						
BGE_00221_E01																																						
BGE_00221_E02																																						
BGE_00221_E03																																						
BGE_00221_E04																																						
BGE_00221_E05																																						
BGE_00221_E07																																						
BGE_00221_E08																																						
BGE_00221_E09																																						
BGE_00221_E10																																						
BGE_00221_E11																																						
BGE_00221_E12																																						
BGE_00221_F01																																						
BGE_00221_F02																																						
BGE_00221_F03																																						
BGE_00221_F04																																						
BGE_00221_F05																																						
BGE_00221_F06																																						
BGE_00221_F07																																						
BGE_00221_F08																																						
BGE_00221_F09																																						
BGE_00221_F10																																						
BGE_00221_F11																																						
BGE_00221_F12																																						
BGE_00221_G01																																						
BGE_00221_G02																																						
BGE_00221_G03																																						
BGE_00221_G04																																						
BGE_00221_G06																																						
BGE_00221_G07																																						
BGE_00221_G09																																						
BGE_00221_G10																																						
BGE_00221_G11																																						
BGE_00221_G12																																						
BGE_00221_H01																																						
BGE_00221_H02																																						
BGE_00221_H03																																						
BGE_00221_H04																																						
BGE_00221_H05																																						
BGE_00221_H06																																						
BGE_00221_H07																																						
BGE_00221_H08																																						
BGE_00221_H09																																						
BGE_00221_H10																																						
BGE_00221_H11																																						
BGE_00223_A01																																						
BGE_00223_A02																																						
BGE_00223_A03																																						
BGE_00223_A04																																						
BGE_00223_A05																																						
BGE_00223_A06																																						
BGE_00223_A07																																						
BGE_00223_A08																																						
BGE_00223_A09																																						
BGE_00223_A10																																						
BGE_00223_A11																																						
BGE_00223_A12																																						
BGE_00223_B01																																						
BGE_00223_B02																																						
BGE_00223_B03																																						
BGE_00223_B04																																						
BGE_00223_B05																																						
BGE_00223_B06																																						
BGE_00223_B07																																						
BGE_00223_B08																																						
BGE_00223_B09																																						
BGE_00223_B10																																						
BGE_00223_B11																																						
BGE_00223_B12																																						
BGE_00223_C01																																						
BGE_00223_C02																																						
BGE_00223_C03																																						
BGE_00223_C04																																						
BGE_00223_C05																																						
BGE_00223_C06																																						
BGE_00223_C07																																						
BGE_00223_C08																																						
BGE_00223_C09																																						
BGE_00223_C10																																						
BGE_00223_C11																																						
BGE_00223_C12																																						
BGE_00223_D01																																						
BGE_00223_D02																																						
BGE_00223_D03																																						
BGE_00223_D04																																						
BGE_00223_D05																																						
BGE_00223_D06																																						
BGE_00223_D07																																						
BGE_00223_D08																																						
BGE_00223_D09																																						
BGE_00223_D10																																						
BGE_00223_D11																																						
BGE_00223_D12																																						
BGE_00223_E01																																						
BGE_00223_E02																																						
BGE_00223_E03																																						
BGE_00223_E04																																						
BGE_00223_E05																																						
BGE_00223_E06																																						
BGE_00223_E07																																						
BGE_00223_E08																																						
BGE_00223_E09																																						
BGE_00223_E10																																						
BGE_00223_E11																																						
BGE_00223_E12																																						
BGE_00223_F01																																						
BGE_00223_F02																																						
BGE_00223_F03																																						
BGE_00223_F04																																						
BGE_00223_F05																																						
BGE_00223_F07																																						
BGE_00223_F08																																						
BGE_00223_F09																																						
BGE_00223_F10																																						
BGE_00223_F11																																						
BGE_00223_F12																																						
BGE_00223_G01																																						
BGE_00223_G02																																						
BGE_00223_G03																																						
BGE_00223_G04																																						
BGE_00223_G05																																						
BGE_00223_G06																																						
BGE_00223_G07																																						
BGE_00223_G08																																						
BGE_00223_G09																																						
BGE_00223_G10																																						
BGE_00223_G11																																						
BGE_00223_G12																																						
BGE_00223_H01																																						
BGE_00223_H02																																						
BGE_00223_H03																																						
BGE_00223_H04																																						
BGE_00223_H05																																						
BGE_00223_H06																																						
BGE_00223_H07																																						
BGE_00223_H08																																						
BGE_00223_H09																																						
BGE_00223_H10																																						
BGE_00224_A01																																						
BGE_00224_A02																																						
BGE_00224_A03																																						
BGE_00224_A04																																						
BGE_00224_A05																																						
BGE_00224_A06																																						
BGE_00224_A07																																						
BGE_00224_A08																																						
BGE_00224_A09																																						
BGE_00224_A10																																						
BGE_00224_A11																																						
BGE_00224_A12																																						
BGE_00224_B01																																						
BGE_00224_B02																																						
BGE_00224_B03																																						
BGE_00224_B04																																						
BGE_00224_B05																																						
BGE_00224_B06																																						
BGE_00224_B07																																						
BGE_00224_B08																																						
BGE_00224_B09																																						
BGE_00224_B10																																						
BGE_00224_B11																																						
BGE_00224_B12																																						
BGE_00224_C01																																						
BGE_00224_C02																																						
BGE_00224_C03																																						
BGE_00224_C04																																						
BGE_00224_C05																																						
BGE_00224_C06																																						
BGE_00224_C07																																						
BGE_00224_C08																																						
BGE_00224_C09																																						
BGE_00224_C10																																						
BGE_00224_C11																																						
BGE_00224_C12																																						
BGE_00224_D01																																						
BGE_00224_D02																																						
BGE_00224_D03																																						
BGE_00224_D04																																						
BGE_00224_D05																																						
BGE_00224_D06																																						
BGE_00224_D07																																						
BGE_00224_D08																																						
BGE_00224_D09																																						
BGE_00224_D10																																						
BGE_00224_D11																																						
BGE_00224_D12																																						
BGE_00224_E01																																						
BGE_00224_E02																																						
BGE_00224_E03																																						
BGE_00224_E04																																						
BGE_00224_E05																																						
BGE_00224_E06																																						
BGE_00224_E07																																						
BGE_00224_E08																																						
BGE_00224_E09																																						
BGE_00224_E10																																						
BGE_00224_E11																																						
BGE_00224_E12																																						
BGE_00224_F01																																						
BGE_00224_F02																																						
BGE_00224_F03																																						
BGE_00224_F04																																						
BGE_00224_F05																																						
BGE_00224_F06																																						
BGE_00224_F07																																						
BGE_00224_F08																																						
BGE_00224_F09																																						
BGE_00224_F10																																						
BGE_00224_F11																																						
BGE_00224_F12																																						
BGE_00224_G01																																						
BGE_00224_G02																																						
BGE_00224_G03																																						
BGE_00224_G04																																						
BGE_00224_G05																																						
BGE_00224_G06																																						
BGE_00224_G07																																						
BGE_00224_G08																																						
BGE_00224_G09																																						
BGE_00224_G10																																						
BGE_00224_G11																																						
BGE_00224_G12																																						
BGE_00224_H01																																						
BGE_00224_H02																																						
BGE_00224_H03																																						
BGE_00224_H04																																						
BGE_00224_H05																																						
BGE_00224_H06																																						
BGE_00224_H07																																						
BGE_00224_H08																																						
BGE_00224_H09																																						
BGE_00224_H10																																						
BGE_00224_H11																																						
BGE_00225_A01																																						
BGE_00225_A02																																						
BGE_00225_A03																																						
BGE_00225_A04																																						
BGE_00225_A05																																						
BGE_00225_A06																																						
BGE_00225_A07																																						
BGE_00225_A08																																						
BGE_00225_A09																																						
BGE_00225_A10																																						
BGE_00225_A11																																						
BGE_00225_A12																																						
BGE_00225_B01																																						
BGE_00225_B02																																						
BGE_00225_B03																																						
BGE_00225_B04																																						
BGE_00225_B05																																						
BGE_00225_B06																																						
BGE_00225_B07																																						
BGE_00225_B08																																						
BGE_00225_B09																																						
BGE_00225_B10																																						
BGE_00225_B11																																						
BGE_00225_B12																																						
BGE_00225_C01																																						
BGE_00225_C02																																						
BGE_00225_C03																																						
BGE_00225_C04																																						
BGE_00225_C05																																						
BGE_00225_C06																																						
BGE_00225_C07																																						
BGE_00225_C08																																						
BGE_00225_C09																																						
BGE_00225_C10																																						
BGE_00225_C11																																						
BGE_00225_C12																																						
BGE_00225_D01																																						
BGE_00225_D02																																						
BGE_00225_D03																																						
BGE_00225_D04																																						
BGE_00225_D05																																						
BGE_00225_D06																																						
BGE_00225_D07																																						
BGE_00225_D09																																						
BGE_00225_D10																																						
BGE_00225_D11																																						
BGE_00225_D12																																						
BGE_00225_E01																																						
BGE_00225_E02																																						
BGE_00225_E03																																						
BGE_00225_E04																																						
BGE_00225_E05																																						
BGE_00225_E06																																						
BGE_00225_E07																																						
BGE_00225_E08																																						
BGE_00225_E09																																						
BGE_00225_E10																																						
BGE_00225_E11																																						
BGE_00225_E12																																						
BGE_00225_F01																																						
BGE_00225_F02																																						
BGE_00225_F03																																						
BGE_00225_F04																																						
BGE_00225_F05																																						
BGE_00225_F06																																						
BGE_00225_F07																																						
BGE_00225_F08																																						
BGE_00225_F09																																						
BGE_00225_F10																																						
BGE_00225_F11																																						
BGE_00225_F12																																						
BGE_00225_G01																																						
BGE_00225_G02																																						
BGE_00225_G03																																						
BGE_00225_G04																																						
BGE_00225_G05																																						
BGE_00225_G06																																						
BGE_00225_G07																																						
BGE_00225_G08																																						
BGE_00225_G11																																						
BGE_00225_G12																																						
BGE_00225_H01																																						
BGE_00225_H04																																						
BGE_00225_H05																																						
BGE_00225_H06																																						
BGE_00225_H07																																						
BGE_00225_H09																																						
BGE_00225_H10																																						
BGE_00225_H11																																						
BGE_00226_A01																																						
BGE_00226_A02																																						
BGE_00226_A03																																						
BGE_00226_A04																																						
BGE_00226_A05																																						
BGE_00226_A06																																						
BGE_00226_A07																																						
BGE_00226_A08																																						
BGE_00226_A09																																						
BGE_00226_A10																																						
BGE_00226_A11																																						
BGE_00226_A12																																						
BGE_00226_B01																																						
BGE_00226_B02																																						
BGE_00226_B03																																						
BGE_00226_B04																																						
BGE_00226_B05																																						
BGE_00226_B06																																						
BGE_00226_B07																																						
BGE_00226_B08																																						
BGE_00226_B09																																						
BGE_00226_B10																																						
BGE_00226_B11																																						
BGE_00226_B12																																						
BGE_00226_C01																																						
BGE_00226_C02																																						
BGE_00226_C03																																						
BGE_00226_C04																																						
BGE_00226_C05																																						
BGE_00226_C06																																						
BGE_00226_C07																																						
BGE_00226_C08																																						
BGE_00226_C09																																						
BGE_00226_C10																																						
BGE_00226_C11																																						
BGE_00226_C12																																						
BGE_00226_D01																																						
BGE_00226_D02																																						
BGE_00226_D03																																						
BGE_00226_D04																																						
BGE_00226_D05																																						
BGE_00226_D06																																						
BGE_00226_D07																																						
BGE_00226_D08																																						
BGE_00226_D09																																						
BGE_00226_D10																																						
BGE_00226_D11																																						
BGE_00226_D12																																						
BGE_00226_E01																																						
BGE_00226_E02																																						
BGE_00226_E03																																						
BGE_00226_E04																																						
BGE_00226_E05																																						
BGE_00226_E06																																						
BGE_00226_E07																																						
BGE_00226_E08																																						
BGE_00226_E09																																						
BGE_00226_E10																																						
BGE_00226_E11																																						
BGE_00226_E12																																						
BGE_00226_F01																																						
BGE_00226_F02																																						
BGE_00226_F03																																						
BGE_00226_F04																																						
BGE_00226_F05																																						
BGE_00226_F06																																						
BGE_00226_F07																																						
BGE_00226_F08																																						
BGE_00226_F09																																						
BGE_00226_F10																																						
BGE_00226_F11																																						
BGE_00226_F12																																						
BGE_00226_G01																																						
BGE_00226_G02																																						
BGE_00226_G03																																						
BGE_00226_G04																																						
BGE_00226_G05																																						
BGE_00226_G06																																						
BGE_00226_G07																																						
BGE_00226_G08																																						
BGE_00226_G09																																						
BGE_00226_G10																																						
BGE_00226_G11																																						
BGE_00226_G12																																						
BGE_00226_H01																																						
BGE_00226_H02																																						
BGE_00226_H03																																						
BGE_00226_H04																																						
BGE_00226_H05																																						
BGE_00226_H06																																						
BGE_00226_H07																																						
BGE_00226_H08																																						
BGE_00226_H09																																						
BGE_00226_H10																																						
BGE_00226_H11																																						
BGE_00414_F04	BGE_00414		F04	https://ror.org/00wz4b049																														Dry				BGE_00414_F04
RMNH.INS.1661544	BGE_00190		A01							28-Jul-1961																								Dry				RMNH.INS.1661544
RMNH.INS.1661545	BGE_00190		A02					2024		17-Jun-1978																								Dry				RMNH.INS.1661545
RMNH.INS.1661548	BGE_00190		A03					2024		23-Apr-1977																								Dry				RMNH.INS.1661548
BGE_00148_E09																																						
BGE_00148_E10																																						
BGE_00148_E12																																						
RMNH.INS.1661554	BGE_00190		A08					2024		29-Jul-1938																								Dry				RMNH.INS.1661554
RMNH.INS.1661517	BGE_00190		A09					2024																										Dry				RMNH.INS.1661517
RMNH.INS.1661560	BGE_00190		A10					2024																										Dry				RMNH.INS.1661560
RMNH.INS.1661561	BGE_00190		A11					2024																										Dry				RMNH.INS.1661561
RMNH.INS.1661562	BGE_00190		A12					2024		19-Jun-1970																								Dry				RMNH.INS.1661562
BGE_00148_F06																																						
RMNH.INS.1532011	BGE_00184		E11																															Dry				RMNH.INS.1532011
BGE_00148_F08																																						
ZMA.INS.5142850	BGE_00190		B04					2024																										Dry				ZMA.INS.5142850
ZMA.INS.5142851	BGE_00190		B05					2024																										Dry				ZMA.INS.5142851
RMNH.INS.1661580	BGE_00190		B06					1966																										Dry				RMNH.INS.1661580
RMNH.INS.1661581	BGE_00190		B07					1961																										Dry				RMNH.INS.1661581
RMNH.INS.1661582	BGE_00190		B08					2024																										Dry				RMNH.INS.1661582
BGE_00148_G02																																						
RMNH.INS.1661608	BGE_00190		B10					1994																										Dry				RMNH.INS.1661608
BGE_00148_G04																																						
ZMA.INS.5142854	BGE_00190		B12					1962																										Dry				ZMA.INS.5142854
ZMA.INS.5142857	BGE_00190		C02					2024		28-Jul-1984																								Dry				ZMA.INS.5142857
BGE_00148_G08																																						
RMNH.INS.1661597	BGE_00190		C04					2024																										Dry				RMNH.INS.1661597
BGE_00148_G10																																						
RMNH.INS.1661603	BGE_00190		C06					1966																										Dry				RMNH.INS.1661603
RMNH.INS.1661604	BGE_00190		C07					1966																										Dry				RMNH.INS.1661604
RMNH.INS.1661605	BGE_00190		C08					2024		24-Jun-1951																								Dry				RMNH.INS.1661605
RMNH.INS.1661610	BGE_00190		C09					2024																										Dry				RMNH.INS.1661610
BGE_00414_A03	BGE_00414		A03	https://ror.org/00wz4b049																														Dry				BGE_00414_A03
RMNH.INS.1661615	BGE_00190		C12					1962		16-May-1959																								Dry				RMNH.INS.1661615
RMNH.INS.1661616	BGE_00190		D01					1962																										Dry				RMNH.INS.1661616
RMNH.INS.1661617	BGE_00190		D02					1962																										Dry				RMNH.INS.1661617
RMNH.INS.1661619	BGE_00190		D03					2024																										Dry				RMNH.INS.1661619
RMNH.INS.1661620	BGE_00190		D04					2024																										Dry				RMNH.INS.1661620
BGE_00148_H10																																						
RMNH.INS.1661628	BGE_00190		D06					2024																										Dry				RMNH.INS.1661628
RMNH.INS.1661629	BGE_00190		D07					2024		23-May-1953																								Dry				RMNH.INS.1661629
RMNH.INS.1661630	BGE_00190		D08					2024																										Dry				RMNH.INS.1661630
BGE_00149_A03																																						
RMNH.INS.1661721	BGE_00190		D10					2024		15-Mar-1981																								Dry				RMNH.INS.1661721
BGE_00149_A05																																						
RMNH.INS.1661450	BGE_00190		D12					2024		27-Feb-1985																								Dry				RMNH.INS.1661450
RMNH.INS.1661455	BGE_00190		E01					2024		27-Feb-1985																								Dry				RMNH.INS.1661455
RMNH.INS.1661460	BGE_00190		E02					2024																										Dry				RMNH.INS.1661460
RMNH.INS.1661445	BGE_00190		E03					2024		16-Feb-1985																								Dry				RMNH.INS.1661445
RMNH.INS.1531404	BGE_00171		A01					1970																										dry				
